id,name,category,subcat,price
1,Knitted Infinity Scarf,Clothing - Accessories,Scarves,32.99
2,Walnut Halves,Food - Nuts,Nut Snacks,9.34
3,Ceramic Knife Set,Kitchen,Cutlery,43.99
4,Interchangeable Watch Bands,Accessories,Watches,27.49
5,Honey Mustard Dip,Food - Condiments,Dips & Spreads,3.62
6,Hand Mixer,Kitchen,Blenders & Juicers,32.99
7,Craft Beer Mustard,Food - Condiments,Mustards,4.39
8,Organic Almond Flour,Food - Baking,Flours & Meals,7.69
9,Yoga Blocks,Fitness,Yoga Equipment,32.99
11,Blueberry Oatmeal Cups,Food - Breakfast,Healthy Breakfast Options,3.62
12,Pepperoni Pizza Rolls,Food - Snacks,Savory Snacks,7.69
13,Honey Sesame Chicken Mix,Food - Frozen Meals,Frozen Asian Meals,9.89
14,Bluetooth Car Adapter,Automotive,Automotive Accessories,27.49
15,Asian Stir-Fry Vegetables,Food - Frozen Foods,Frozen Vegetables,3.29
16,Garlic Herb Marinade,Food - Marinades,Marinades,3.62
17,Sweet Potato Mash,Food - Frozen Foods,Frozen Vegetables,4.39
18,Portable Electric Fan,Home,Home Appliances,27.49
19,Red Lentils,Food - Grains,Legumes,2.19
20,Lockable Bicycle Chain,Outdoor,Cycling Accessories,21.99
21,Shower Curtain Hooks,Home,Home Organization,14.29
22,Orange Ginger Vinaigrette,Food - Condiments,Dressing,4.39
23,Interactive Robot Toy,Toys,Robotics Toys,38.49
24,Electric Ice Cream Maker,Kitchen,Cooking Appliances,65.99
25,Kettle Chip Variety Pack,Food - Snacks,Chips and Crisps,4.39
26,Portable Phone Charger,Accessories,Mobile Accessories,32.99
27,Lightweight Backpacking Tent,Outdoor,Camping Equipment,142.99
28,Egg Noodles,Food - Grains,Pasta,2.52
29,Canned Sardines,Food - Seafood,Canned Seafood,3.62
30,Classic Baseball Cap,Clothing - Accessories,Headwear,27.49
31,Honey Mustard Chicken Breasts,Food - Meat,Processed Meats,9.89
32,Vegetable Stir-Fry Sauce,Food - Sauces,Asian Sauces,3.84
33,Beef Stroganoff Mix,Food - Meal Kits,Pasta & Rice Mixes,6.04
34,Athletic Jogging Jacket,Clothing - Outerwear,Activewear Jackets,54.99
35,Honeycrisp Apples,Food - Produce,Fresh Fruits,2.08
36,Beard Grooming Kit,Grooming,Grooming,38.49
37,Wireless Game Controller,Gaming,Gaming Accessories,43.99
38,Baked Falafel,Food - Vegetarian,Snacks,6.04
39,Mediterranean Chickpea Bowl,Food - Prepared Foods,Plant-Based Meals,7.14
40,Stainless Steel Straws,Kitchen,Kitchen Accessories,14.29
41,Chocolate Chip Energy Balls,Food - Snacks,Healthy Snacks,4.39
42,Maple Almond Granola,Food - Breakfast,Granola/Cereal,6.04
43,Sliced Bread,Food - Bakery,Breads,3.29
44,Organic Almonds,Food - Nuts,Nut Snacks,9.89
45,Portable Speakers,Audio,Wireless Speakers,76.99
46,Oven-Baked Cheese Crisps,Food - Snacks,Savory Snacks,4.39
47,Cinnamon Roll Protein Bar,Food - Snacks,Protein Snacks,3.29
48,Sesame Oil,Food - Oils & Vinegars,Oils,4.39
49,Air Fryer,Kitchen,Small Appliances,87.99
50,Dog Car Seat Cover,Pets,Pet Safety Gear,43.99
51,Gluten-Free Pancake Mix,Food - Baking Goods,Baking Mixes,6.59
52,Mushrooms,Food - Produce,Fresh Mushrooms,3.29
53,Roasted Red Pepper Sauce,Food - Sauces,Vegetable-Based Sauces,3.62
54,Travel Shoe Bags Set,Travel,Travel Accessories,17.59
55,Fall-Themed Table Runner,Home,Seasonal Home Decor,21.99
56,Blackberry Compote,Food - Condiments,Fruit Spreads,5.82
57,Stylish Wide-Leg Trousers,Clothing - Bottoms,,65.99
58,Electrolyte Water Bottle,Fitness,Hydration Gear,38.49
59,Cranberry Almond Granola,Food - Breakfast,Granola/Cereal,4.72
60,Chiffon Blouse,Clothing - Shirts,Dress Shirts,43.99
62,Roasted Garlic Pasta Sauce,Food - Sauces,Pasta Sauces,5.49
63,Over-Ear Headphones,Audio,Headphones,65.99
64,Dog Training Collar,Pets,Training Supplies,43.99
65,Adjustable Kneeling Pad,Garden,Gardening Accessories,20.89
66,Portable Electric Fan,Home,Home Appliances,27.49
67,Chocolate Syrup,Food - Condiments,Syrups,3.29
68,Flavored Popcorn Mix,Food - Snacks,Gourmet Snacks,3.29
69,Window A/C Unit,Home Appliances,Cooling Appliances,329.99
70,Honey Glazed Carrots,Food - Produce,Prepared Vegetables,3.84
71,Lemon Dill Salmon,Food - Seafood,Prepared Seafood,10.99
72,Decorative LED Neon Sign,Home,Lighting & Lamps,50.59
73,Classic Cheeseburger Mix,Food - Meats,Ground Meats,6.04
74,Coconut Lime Rice,Food - Sides,Grains,3.29
75,Scent Diffuser,Home,Home Fragrance & Accessories,38.49
76,Kids' Craft Supplies Set,Toys,Creative Arts & Crafts,27.49
77,Wireless Charging Station,Electronics,Mobile Accessories,43.99
78,Throw Pillow Covers,Home,Decorative Wall Art & Accessories,25.29
79,Pet Carrier,Pets,Travel Accessories,43.99
80,Organic Blueberries,Food - Fruits,Berries,6.04
81,Artisan Pickles,Food - Condiments,Pickles,2.74
82,Kids' Dinosaur-Themed Lunchbox,Accessories,Kids' Bags,21.99
83,Cable Knit Cardigan,Clothing - Outerwear,Knitwear,54.99
84,Chipotle Sauce,Food - Condiments,Spicy Sauces,3.62
85,Guitar Tuner,Music,Accessories,21.99
86,Coffee Subscription Service,Food,Beverages,32.99
87,LED Desk Lamp with USB Charging Port,Office,Lighting,32.99
88,Spinach Feta Wraps,Food - Deli,Wraps/Rolls,4.72
89,Peach Mango Smoothie Mix,Food - Beverages,Smoothies,6.59
90,Crispy Onion Rings,Food - Frozen Foods,Frozen Appetizers,4.72
91,Graphic Tee,Clothing,T-shirts,21.99
92,Reflective Safety Vest,Safety,Personal Protective Equipment (PPE) & Disaster Preparedness,21.99
93,Lemon Lime Sparkling Water,Food - Beverages,Sparkling Beverages,2.19
94,Garlic Breadsticks,Food - Sides,Bread & Rolls,3.84
95,Automatic Pet Feeder,Pets,Pet Feeding Supplies,76.99
96,USB-C Hub,Computers,Accessories,43.99
97,Roasted Red Pepper Dip,Food - Snacks,Dips and Spreads,3.62
98,Chocolate Mint Cookies,Food - Baking,Cookies,2.52
99,Spaghetti Squash,Food - Produce,Vegetables,4.39
100,Portable Leaf Blower,Outdoor,Garden Supplies,164.99
101,Artisan Bread,Food - Bakery,Breads,5.05
102,Turkey Bacon,Food - Meat,Processed Meats,4.39
103,Buffalo Chicken Dip,Food - Dips,Spicy Dips,6.59
104,Wall-Mounted Spice Rack,Kitchen,Kitchen Storage & Organization,43.99
105,Multi-Purpose Marine Rope,Outdoor,Outdoor Recreation,21.99
106,Noise-Canceling Headphones,Audio,Headphones,131.99
107,Leather Crossbody Bag,Clothing - Bags,Handbags,98.99
108,Wireless HDMI Transmitter,Electronics,Audio & Video Accessories,87.99
109,Outdoor Fire Pit,Outdoor,Outdoor Accessories,164.99
110,Herb Garden Planter Box,Garden,Planters,54.99
111,Mediterranean Flatbread,Food - Bakery,Flatbreads,3.85
112,Smartphone UV Sanitizer,Health,Personal Care & Grooming,43.99
113,Frozen Fruit Medley,Food - Frozen Foods,Frozen Fruits,6.59
114,Multi-Purpose Plant Care Tool,Garden,Garden Tools,27.49
115,Pet Carrier,Pets,Travel Accessories,43.99
116,Pumpkin Spice Muffins,Food - Bakery,Seasonal Items,4.39
117,Sriracha Hot Chili Sauce,Food - Condiments,Hot Sauces,3.29
118,Smart LED Light Strip,Home,Smart Home & Security,32.99
119,Kids' Art Easel,Toys,Creative Toys,64.89
120,Coffee Grinder,Kitchen,Coffee Equipment,43.99
121,Vegetable Lentil Soup,Food - Canned Goods,Soups & Broths,3.84
122,3D Night Light,Home,Decorative Wall Art & Accessories,21.99
123,Emergency Preparedness Kit,Safety,Disaster Preparedness,109.99
124,Sweet Potato & Kale Hash,Food - Prepared Foods,Vegetarian Meals,6.04
125,Beef Taco Skillet,Food - Meal Kits,Mexican Cuisine Meal Kits,9.34
126,Taro Chips,Food - Snacks,Savory Snacks,3.95
127,Balsamic Vinaigrette,Food - Dressings,Dressings,2.96
128,Kids' Craft Supplies Set,Toys,Creative Arts & Crafts,27.49
129,Pet Hair Vacuum Cleaner Attachment,Pets,Grooming Supplies,16.49
130,Creamy Tomato Basil Soup,Food - Canned Goods,Soups & Broths,3.62
131,Non-Stick Crepe Pan,Kitchen,Cookware,32.99
132,Eco-Friendly Disposable Plates,Kitchen,Sustainable Tableware,25.29
133,Multi-Cooker,Kitchen,Cooking Appliances,98.99
134,Peach & Mango Salsa,Food - Snacks,Salsas and Dips,4.94
135,Smart Plant Monitor,Garden,Garden Technology,27.49
136,Glass Food Containers,Kitchen,Food Storage Solutions,38.49
137,Garden Tool Set,Garden,Garden Tools,38.49
138,Smart Water Bottle with Hydration Reminder,Fitness,Health & Wellness Tools,43.99
139,Cabbage,Food - Produce,Vegetables,1.42
140,Travel Size Toiletry Bottles,Travel,Travel Accessories,10.99
141,Chocolate Chip Cookie Dough,Food - Baking,Mixes,6.04
142,Weighted Jump Rope with Counter,Fitness,Cardio Equipment,16.49
143,Silicone Baking Cups,Kitchen,Baking Accessories,12.09
144,Shredded Cheese,Food - Dairy,Cheese,4.72
